track_id,plate_text,confidence,status,valid,job_id
13,(no text),0.0000,FAIL,INVALID,e794e4af-40e1-4a6d-8514-394914da608d
10,(no text),0.0000,FAIL,INVALID,0d9b78fa-b46f-45bf-b5a5-0abc44ef3c7a
14,(no text),0.0000,FAIL,INVALID,03f9aa78-8637-45dc-a547-a16b5ed47f36
16,(no text),0.0000,FAIL,INVALID,82e20a25-6a8f-4a95-b3b3-e4c574685b61
32,(no text),0.0000,FAIL,INVALID,a05de68b-b1b6-4266-9d32-5cea022dae9d
31,(no text),0.0000,FAIL,INVALID,9e1545b1-a2c1-428e-931b-af757133609f
51,(no text),0.0000,FAIL,INVALID,4217e9cb-fec3-4ac6-ae16-bced89f7f006
65,(no text),0.0000,FAIL,INVALID,08c38efb-8351-4145-b8c7-81d138d7bfef
64,(no text),0.0000,FAIL,INVALID,59d38713-a486-4ab0-9454-9a65a7751ecd
77,(no text),0.0000,FAIL,INVALID,48b0bc4b-c517-410c-a705-d4da1ed944c5
55,(no text),0.0000,FAIL,INVALID,e8d87c9c-8a33-4300-a188-cac3d442d744
71,(no text),0.0000,FAIL,INVALID,a94ef860-60d8-49be-9e6c-d20cea1d72f0
106,(no text),0.0000,FAIL,INVALID,64fce03d-4e50-41db-9f7e-bb6c677ef369
114,(no text),0.0000,FAIL,INVALID,9f6f4643-cc2e-4559-981c-96d55489bda4
116,(no text),0.0000,FAIL,INVALID,5057e9a2-886f-4c0c-a19a-fc7e168279c7
3,(no text),0.0000,FAIL,INVALID,6364a6ea-7ac8-4b14-be66-18207e0ce205
139,(no text),0.0000,FAIL,INVALID,ec5d9d74-aea3-4939-a07c-f55ceb4926b9
4,(no text),0.0000,FAIL,INVALID,b1edf8b8-3177-4946-a674-8d6212375eec
158,(no text),0.0000,FAIL,INVALID,b0115172-587a-42c1-886e-967427ee5797
159,(no text),0.0000,FAIL,INVALID,7ec3ef93-15b9-4f9e-9cd0-b0f4222c63e7
164,(no text),0.0000,FAIL,INVALID,ed287d49-388d-400d-b198-c7a5f51191e3
56,(no text),0.0000,FAIL,INVALID,74b1a110-73c8-4389-86d0-e6fc6a738be7
2,(no text),0.0000,FAIL,INVALID,3488415a-f0f7-418e-aefc-7d5dd7d34feb
253,(no text),0.0000,FAIL,INVALID,722be13d-21c9-4e08-a060-4084f4ce04cc
266,(no text),0.0000,FAIL,INVALID,04965c52-6b5a-4a74-acfd-730a0b883348
270,(no text),0.0000,FAIL,INVALID,99ca50b5-b7f4-4162-aafc-ca4a654b1721
273,(no text),0.0000,FAIL,INVALID,ccc2c170-70ce-48a1-95e8-934249dcfb19
291,(no text),0.0000,FAIL,INVALID,bb303079-7e7a-4821-83ca-e8f6f33bf5cd
112,(no text),0.0000,FAIL,INVALID,51679369-37af-4a84-8cf8-5a43ba67bf3a
6,(no text),0.0000,FAIL,INVALID,554e2a4a-8159-4418-bda6-2887a43a421c
300,(no text),0.0000,FAIL,INVALID,36ad5eeb-0d1d-4dbd-8648-4d1071246b65
1,(no text),0.0000,FAIL,INVALID,9b9da149-5458-4c1a-972c-e2ded6271257
21,(no text),0.0000,FAIL,INVALID,eb08d7d9-2932-49b9-a57a-02a1bb2f99ee
341,(no text),0.0000,FAIL,INVALID,1065e0df-33a2-470d-873c-4a3d4895cd2b
355,(no text),0.0000,FAIL,INVALID,dea8ba85-1b71-4a8e-9954-4f439b26fb8b
7,(no text),0.0000,FAIL,INVALID,482186f8-5b8b-4a66-8f60-ecf90624d4dc
360,(no text),0.0000,FAIL,INVALID,312d5e4c-bae1-4b4b-af47-b10089de2959
323,(no text),0.0000,FAIL,INVALID,c8197407-ecb1-4448-9eb7-609ba14649fb
411,(no text),0.0000,FAIL,INVALID,e81bca73-12d2-42ab-a853-3501a2bd7bd4
205,(no text),0.0000,FAIL,INVALID,af11bf8d-b1bd-4dc7-8943-2447b334bd09
280,(no text),0.0000,FAIL,INVALID,41690aaa-dc4b-4e15-957f-59cdc750d8f8
422,(no text),0.0000,FAIL,INVALID,79ed56ff-10a6-40f2-9459-fb3bd7f5ac3d
5,(no text),0.0000,FAIL,INVALID,ce253a2e-f83d-4369-babb-697ed51ebf04
537,(no text),0.0000,FAIL,INVALID,6c46223b-3d51-4d9d-b40d-e442ab283fe6
445,(no text),0.0000,FAIL,INVALID,38fb7a05-7f11-44b3-8951-b335fd168d9c
606,(no text),0.0000,FAIL,INVALID,7dd28422-2a3f-4ff9-9425-5174fc91b67c
12,(no text),0.0000,FAIL,INVALID,02907bdc-675d-4d68-8eb3-a97db4b6b875
625,(no text),0.0000,FAIL,INVALID,8bfd652a-fa0f-4362-9cc3-e4334a204062
11,(no text),0.0000,FAIL,INVALID,1a31436b-5d04-421f-a8e4-97f54e8c5cc3
8,(no text),0.0000,FAIL,INVALID,8ae86897-fed8-4e36-9125-81ab40dbbf25
796,(no text),0.0000,FAIL,INVALID,cb2195e4-85ee-4e2d-a7cb-9c6c9dd98d01
828,(no text),0.0000,FAIL,INVALID,e7711db6-e936-4a69-9f6c-dd80f5844d19
851,(no text),0.0000,FAIL,INVALID,935e365e-846e-44a6-a0cf-9a78dcd61dc7
861,(no text),0.0000,FAIL,INVALID,0178ee2e-7f54-454d-942c-b8fd72784c49
371,(no text),0.0000,FAIL,INVALID,1476aaee-b146-40df-bd55-3c7b258e0d79
882,(no text),0.0000,FAIL,INVALID,43586940-c974-428f-a32d-aefd77d45c3a
107,(no text),0.0000,FAIL,INVALID,9f7e6293-796e-4152-99b7-25b54c98a100
892,(no text),0.0000,FAIL,INVALID,43c1e821-0cd9-46e4-b671-b390295e8b95
906,(no text),0.0000,FAIL,INVALID,16be2610-62b2-4a0e-8aab-b57e65883210
905,(no text),0.0000,FAIL,INVALID,cd0a5fb2-cf20-41db-a5cc-e3661c0c892b
911,(no text),0.0000,FAIL,INVALID,c082e5c8-7481-495b-a884-1ff62ced86f3
859,(no text),0.0000,FAIL,INVALID,b499cf53-8ccb-4d3b-9b82-6416d9b693a7
918,(no text),0.0000,FAIL,INVALID,1a9465af-a042-4cc1-a195-60294d676e71
930,(no text),0.0000,FAIL,INVALID,1579db8f-8bf4-4bd8-95dd-afea4e86d0d3
955,(no text),0.0000,FAIL,INVALID,f6476eb9-a2a4-46bb-a0f6-eb01d032e305
969,(no text),0.0000,FAIL,INVALID,d35da5d9-ccbd-467a-95c0-1a30e610238a
174,(no text),0.0000,FAIL,INVALID,80ff0565-f0e3-4a2c-bc67-b8208bb6f267
325,(no text),0.0000,FAIL,INVALID,6e701f8d-eba8-4bc5-9694-7825245d72db
973,(no text),0.0000,FAIL,INVALID,330e920f-d524-45b3-91fc-b8554cfeae99
377,(no text),0.0000,FAIL,INVALID,9156e64a-8a21-4b47-a9c7-49e698b641a4
879,(no text),0.0000,FAIL,INVALID,094f9e2f-67b5-42a3-aaad-1b6af3dda0ea
977,(no text),0.0000,FAIL,INVALID,c724346f-7de5-484b-8953-d898d872b1da
840,(no text),0.0000,FAIL,INVALID,a168c13e-89c4-4440-80ab-a8aa1ca76f50
1123,(no text),0.0000,FAIL,INVALID,313652c5-3c52-47ff-b3fa-6e8db9bb1d1f
1141,(no text),0.0000,FAIL,INVALID,c78e7013-3be9-4d2c-9871-93e2e95f6565
1151,(no text),0.0000,FAIL,INVALID,d3676a56-0ea5-4566-878d-b502da339ee3
1147,(no text),0.0000,FAIL,INVALID,d87464d0-cf56-47d7-b4aa-43d20ef50248
585,(no text),0.0000,FAIL,INVALID,4da15c74-075d-4176-a23a-007d68a2bca6
1154,(no text),0.0000,FAIL,INVALID,75475e9f-2cc5-457e-ac35-490458ac7523
535,(no text),0.0000,FAIL,INVALID,41769a4b-b241-4069-9225-c8812f2fdd10
9,(no text),0.0000,FAIL,INVALID,f51bbf7e-a7c1-45ce-a581-76534dbdb083
1195,(no text),0.0000,FAIL,INVALID,e84304ae-6119-40d0-acfb-abc380fc5957
1198,(no text),0.0000,FAIL,INVALID,87f7f36f-e745-47e5-ac5e-7aa43e1ecf59
1204,(no text),0.0000,FAIL,INVALID,bcd871c3-7629-42e8-94ce-abd50612fb28
1138,(no text),0.0000,FAIL,INVALID,737ec563-9c27-4e81-9ff5-fc0fe67648f3
250,(no text),0.0000,FAIL,INVALID,451f6c2e-31c2-4de3-a4a3-d34b5078c355
1243,(no text),0.0000,FAIL,INVALID,4c2b81e4-ba9f-4594-8833-b60f47d70689
1244,(no text),0.0000,FAIL,INVALID,b69d38c1-c9bf-4ad6-bc87-7b2a6e839409
1266,(no text),0.0000,FAIL,INVALID,cf305c9f-6623-415b-a747-95daa7794c90
995,(no text),0.0000,FAIL,INVALID,f5cba87e-d192-474f-9e0e-0c5b7431cc2f
1118,(no text),0.0000,FAIL,INVALID,71e464d1-2818-47f0-86d4-5286b7ebeb4d
1285,(no text),0.0000,FAIL,INVALID,a836d6d1-527a-4fa0-8359-f916a3f6f6ad
647,(no text),0.0000,FAIL,INVALID,6aab785e-a80f-413f-87b9-817524523c4d
1316,(no text),0.0000,FAIL,INVALID,60f0a78e-8cba-4998-9fb6-135270441b5c
1327,(no text),0.0000,FAIL,INVALID,2d5d0dc5-f457-4aa0-b76f-73835c2b609b
1165,(no text),0.0000,FAIL,INVALID,fbc1c75b-0b5d-480d-82cf-6a9a26d352de
1362,(no text),0.0000,FAIL,INVALID,a8c80670-12e9-4178-ab00-eb5a58f399a7
750,(no text),0.0000,FAIL,INVALID,5dbe158c-fff9-4db6-8024-4c73d76d253f
1375,(no text),0.0000,FAIL,INVALID,7a3b9f79-9094-4216-9e9a-51d59422a5f0
1361,(no text),0.0000,FAIL,INVALID,d3f08d3a-8681-447b-94fc-601cf6b8e0b8
1383,(no text),0.0000,FAIL,INVALID,5accd4e1-8a9c-4764-9e88-1a894b40da11
1396,(no text),0.0000,FAIL,INVALID,9ed22ce5-548f-4224-9e77-065550ad51b5
1366,(no text),0.0000,FAIL,INVALID,7860f873-691c-4a5f-8e53-e1cebdea3773
1013,(no text),0.0000,FAIL,INVALID,0fa0e77e-81e5-48f5-98a9-95ffcd0cd818
1484,(no text),0.0000,FAIL,INVALID,1552c427-8de4-447e-bd47-4d22af98548b
983,(no text),0.0000,FAIL,INVALID,23fc0902-105b-427f-97c8-bd4de91a79b0
1481,(no text),0.0000,FAIL,INVALID,fa0df6d6-bc29-41db-9ff2-05a1bde5944b
1267,(no text),0.0000,FAIL,INVALID,40fcdda3-ac71-482d-95b3-13ce54f97a90
1517,(no text),0.0000,FAIL,INVALID,54fe3464-be5f-406a-87de-f9d4e57509c2
1529,(no text),0.0000,FAIL,INVALID,14d638ee-163f-4405-a23d-083b4157afb1
1552,(no text),0.0000,FAIL,INVALID,8ce91681-3b2e-424c-b1d2-a0831beb29fd
1578,(no text),0.0000,FAIL,INVALID,31a11385-4143-4295-9ae2-23d9393be48f
1564,(no text),0.0000,FAIL,INVALID,77190382-3e40-4910-838d-2e539b42f3a5
1581,(no text),0.0000,FAIL,INVALID,ce03af02-436e-452a-b323-82294ad53687
1422,(no text),0.0000,FAIL,INVALID,bc474011-e572-46d7-b956-09ca8f6850f6
747,(no text),0.0000,FAIL,INVALID,d35c91db-d0a3-4feb-a4e1-6417975c1527
1601,(no text),0.0000,FAIL,INVALID,e3d4ca0a-4426-4d0e-b0d1-f4ea76c54b71
1617,(no text),0.0000,FAIL,INVALID,01250e43-3a43-40ee-a7e3-db5ffda510d5
1621,(no text),0.0000,FAIL,INVALID,24ea1816-84d5-4bd2-8607-fa70be8c497c
864,(no text),0.0000,FAIL,INVALID,b656c882-8d0b-41d8-9b96-0f1bc48277b1
1644,(no text),0.0000,FAIL,INVALID,8e89dc38-12f6-4f68-a00f-023331ac106a
1574,(no text),0.0000,FAIL,INVALID,80769a11-a5ec-4390-b12a-5edd3a322f15
1664,(no text),0.0000,FAIL,INVALID,92218ff7-f07b-44b0-a2a2-1b5838f4d687
1685,(no text),0.0000,FAIL,INVALID,43bee577-a785-4c84-aad5-66abb3544f9a
1334,(no text),0.0000,FAIL,INVALID,59d26697-3e25-4716-8eb7-d5b12a7c548c
1212,(no text),0.0000,FAIL,INVALID,e39c1be7-8d37-4e3c-a49e-bc4085920bbf
1326,(no text),0.0000,FAIL,INVALID,6f8d1cc6-f343-4ac2-87cf-328f361bdbfb
1694,(no text),0.0000,FAIL,INVALID,7097590c-b517-4299-867d-9c075f17c76c
1626,(no text),0.0000,FAIL,INVALID,f92077ea-337c-42a4-a3fb-42837554c37a
1742,(no text),0.0000,FAIL,INVALID,34675924-8b58-4e59-a447-1d0a737907df
1679,(no text),0.0000,FAIL,INVALID,bba49f3c-b4a7-41fa-b137-25c98ea707e5
1533,(no text),0.0000,FAIL,INVALID,416a3be7-fc62-4b8a-80c7-0fe89609bb92
1451,(no text),0.0000,FAIL,INVALID,d981f6ba-367c-4071-9292-492e4b0ea64a
1343,(no text),0.0000,FAIL,INVALID,b8517d82-68a0-4bd1-8524-6fccf77d45ae
1722,(no text),0.0000,FAIL,INVALID,236a8173-1312-43d5-ad53-04af3c1a462f
1811,(no text),0.0000,FAIL,INVALID,3bf47d6c-c6d9-44ca-8e94-98108b14ab7f
1108,(no text),0.0000,FAIL,INVALID,a9fce278-834f-4b0c-8455-3127033d8099
1783,(no text),0.0000,FAIL,INVALID,dc55598a-2cab-4711-92dc-806cb1631f6e
1831,(no text),0.0000,FAIL,INVALID,e5b15998-932f-4dba-8823-d7f3c3edfbb5
1628,(no text),0.0000,FAIL,INVALID,ed73bbf2-a228-4547-a339-e38f0b0dbcfc
1756,(no text),0.0000,FAIL,INVALID,6878ffba-ba54-443b-b0a7-2d7368fe9772
1848,(no text),0.0000,FAIL,INVALID,4ad5ee8f-88d5-4420-a389-65eff6a33405
1864,(no text),0.0000,FAIL,INVALID,ddf09f17-4b62-4738-8e97-d0b66b17b8fd
1616,(no text),0.0000,FAIL,INVALID,fc5541c3-e80a-4737-b835-a8a93ce9bc8e
1941,(no text),0.0000,FAIL,INVALID,d4853c26-dbee-41de-90b2-4716921bb2f4
45,(no text),0.0000,FAIL,INVALID,f19b5acf-9208-498b-a1ca-847470bfd626
1740,(no text),0.0000,FAIL,INVALID,6ecfa96d-528a-4db4-ae3c-1c2e201f2704
1958,(no text),0.0000,FAIL,INVALID,134dcda8-cca7-478f-b175-85dfcfb7f545
1954,(no text),0.0000,FAIL,INVALID,02e19b18-6337-4c3c-8572-049c0304616d
1956,(no text),0.0000,FAIL,INVALID,dc747957-b116-437f-9773-ccccf7e8e477
