track_id,plate_text,confidence,status,valid,job_id
13,(no text),0.0000,FAIL,INVALID,b60b5e26-5589-4bd6-a8a7-245cff627dbf
10,(no text),0.0000,FAIL,INVALID,ef25d5e7-1f5a-4cd0-8c2e-4dbd2eed0643
14,(no text),0.0000,FAIL,INVALID,a96037ee-d250-40e6-b6f3-0d7a564b937e
16,(no text),0.0000,FAIL,INVALID,937076ed-95f8-40fc-b07c-c7a9945c0b48
32,(no text),0.0000,FAIL,INVALID,1e5152bf-d8e8-4158-88dd-8ef67a801a89
31,(no text),0.0000,FAIL,INVALID,099a3899-82e2-4b7c-b304-9eaa4c760256
51,(no text),0.0000,FAIL,INVALID,ac45f206-5336-4b39-ae39-fd900ee4c0b8
65,(no text),0.0000,FAIL,INVALID,3b7857fc-6880-4563-9867-c4e73712d735
64,(no text),0.0000,FAIL,INVALID,d92d94a2-fbe5-49aa-a3de-f866ec766f5a
77,(no text),0.0000,FAIL,INVALID,68ead919-d4c1-4ea0-8156-f519b466be88
55,(no text),0.0000,FAIL,INVALID,5d735e2c-3567-47be-b271-a89706b965ce
71,(no text),0.0000,FAIL,INVALID,4c55426b-9f60-41be-a67a-4af00f7d5285
106,(no text),0.0000,FAIL,INVALID,6cc034ce-331a-4b76-baaa-67ef78980c63
114,(no text),0.0000,FAIL,INVALID,e8a96d32-2ab4-4224-a4d2-5d93db11aa4f
116,(no text),0.0000,FAIL,INVALID,136443ca-163e-4b1f-9988-bc5ef2cae4bb
3,(no text),0.0000,FAIL,INVALID,b3e85491-2b80-4043-9b2b-ce830e2c3cd6
139,(no text),0.0000,FAIL,INVALID,9b8b7bb6-e2e8-4343-8a01-44417fe6bc01
4,(no text),0.0000,FAIL,INVALID,991a693f-47e6-49e6-88dc-381a655fb622
158,(no text),0.0000,FAIL,INVALID,46a7dac4-b02a-41ea-8032-0b0f38424f25
159,(no text),0.0000,FAIL,INVALID,07257c6e-3644-471f-a5c7-8a44298ba1a1
164,(no text),0.0000,FAIL,INVALID,11a59f72-58b0-4c00-9c32-64e15429eb18
56,(no text),0.0000,FAIL,INVALID,9fbf2595-d749-4fa7-9d9e-5ea34b916a0c
2,(no text),0.0000,FAIL,INVALID,bbf73d5a-9708-4b4e-ae6b-4ecdcd39ba49
253,(no text),0.0000,FAIL,INVALID,8325f051-03a1-4463-98fe-9708f8eeb58c
266,(no text),0.0000,FAIL,INVALID,8b9b9727-48e9-4744-9ea5-289be41397e3
270,(no text),0.0000,FAIL,INVALID,4e1087c8-f07a-4a95-9c49-69851a04c8db
273,(no text),0.0000,FAIL,INVALID,55f8ce94-aa1c-44d8-8540-fa10ca46f531
291,(no text),0.0000,FAIL,INVALID,84dc669a-d77f-4581-b209-ff7746ce5819
112,(no text),0.0000,FAIL,INVALID,62598044-ca7e-40bd-aba3-c202b8f7dda4
6,(no text),0.0000,FAIL,INVALID,fe0ede19-1701-4e5f-bd4d-fc6e302e130c
300,(no text),0.0000,FAIL,INVALID,efdb1951-ef70-4972-ace9-fcd79e3a726b
1,(no text),0.0000,FAIL,INVALID,898567b6-2327-45ae-b68a-d821eb85edc0
21,(no text),0.0000,FAIL,INVALID,1c0efcd0-52b5-4223-a451-f60ca45710dc
341,(no text),0.0000,FAIL,INVALID,a4946d2c-1ccf-456e-895e-7ee1befd8414
355,(no text),0.0000,FAIL,INVALID,c2133b2d-9aee-4ef4-baef-99f5b2a8cea8
7,(no text),0.0000,FAIL,INVALID,88112ea2-e1b3-47b8-8402-fa494db68841
360,(no text),0.0000,FAIL,INVALID,bb7c82d6-15d1-4fed-920b-26a9c90813fd
323,(no text),0.0000,FAIL,INVALID,312e336a-270b-4a87-b576-1c40f33f33c2
411,(no text),0.0000,FAIL,INVALID,8767e98d-9255-4767-9a1f-513d953a73cf
205,(no text),0.0000,FAIL,INVALID,f43699d0-c608-4d02-a840-fd1e19ac107a
280,(no text),0.0000,FAIL,INVALID,b74ca853-a62c-4f3f-8a22-e9b91164df5f
422,(no text),0.0000,FAIL,INVALID,ea8e1224-a106-4d3d-b4c0-a5d233e2fdbe
5,(no text),0.0000,FAIL,INVALID,dd16767b-57bb-4dbc-8044-b50e1c892d55
537,(no text),0.0000,FAIL,INVALID,3881ba80-05fc-47fb-913a-b41140c11010
445,(no text),0.0000,FAIL,INVALID,bf8676f4-d3ce-415e-bb8b-15d4a1a3ee74
606,(no text),0.0000,FAIL,INVALID,f5c88672-f348-4660-96df-650d7d94f75c
12,(no text),0.0000,FAIL,INVALID,56f5a4e5-1400-4062-b398-74ecd64f2d52
625,(no text),0.0000,FAIL,INVALID,d7cb9594-6031-417c-84cd-f4a99582404c
11,(no text),0.0000,FAIL,INVALID,5f6748e0-de12-4ce1-8158-cef4e70aa199
8,(no text),0.0000,FAIL,INVALID,1e321ad8-b45d-4591-83cc-af03091f333d
796,(no text),0.0000,FAIL,INVALID,cc913bcd-50e0-4508-93d0-ec54c5d42631
828,(no text),0.0000,FAIL,INVALID,d285956c-b9d8-4e5c-a06a-761eedeed6a3
851,(no text),0.0000,FAIL,INVALID,8eb19e9f-a19a-4fba-ac5e-eb7ba7b6d7c5
861,(no text),0.0000,FAIL,INVALID,d47c83c6-8ae8-40d7-9e3b-820d9e78f236
371,(no text),0.0000,FAIL,INVALID,b66922de-10b7-4b82-8d0b-af6ebe2d046d
882,(no text),0.0000,FAIL,INVALID,d57707ca-f7e3-4449-8e08-a4d4bc78324d
107,(no text),0.0000,FAIL,INVALID,410e1742-8410-4d4f-8550-c0041f443e24
892,(no text),0.0000,FAIL,INVALID,17aafe11-69c2-4394-971d-a69ec9142649
905,(no text),0.0000,FAIL,INVALID,080638cf-2dfb-4ebd-a445-998da338db17
906,(no text),0.0000,FAIL,INVALID,3cecbe62-8ab6-428a-aa87-f981dbf1f700
911,(no text),0.0000,FAIL,INVALID,9608a3d4-5ec4-4ab6-aaf9-2f5d4431d81b
859,(no text),0.0000,FAIL,INVALID,fb443502-46cb-4882-bb74-a1191614f5b6
918,(no text),0.0000,FAIL,INVALID,141bba7e-c92b-4144-af57-eaccd3fe0e91
930,(no text),0.0000,FAIL,INVALID,75617ea8-fdbb-490d-a624-20feb754e6f7
